ts,frame_idx,ok,bbox,offx,offy
1764760997.012150,567,1,None,,
1764760997.032157,568,1,None,,
1764760997.052155,569,1,None,,
1764760997.072075,570,1,None,,
1764760997.117022,571,1,None,,
1764760997.131853,572,1,None,,
1764760997.151799,573,1,None,,
1764760997.171809,574,1,None,,
1764760997.191806,575,1,None,,
1764760997.211875,576,1,None,,
1764760997.231856,577,1,None,,
1764760997.251901,578,1,None,,
1764760997.271862,579,1,None,,
1764760997.291827,580,1,None,,
1764760997.335519,581,1,None,,
1764760997.351693,582,1,None,,
1764760997.371881,583,1,None,,
1764760997.391811,584,1,None,,
1764760997.411856,585,1,None,,
1764760997.431850,586,1,None,,
1764760997.451834,587,1,None,,
1764760997.472126,588,1,None,,
1764760997.492131,589,1,None,,
1764760997.512150,590,1,None,,
1764760997.593036,591,1,None,,
1764760997.612095,592,1,None,,
1764760997.632069,593,1,None,,
1764760997.652112,594,1,None,,
1764760997.672153,595,1,None,,
1764760997.692007,596,1,None,,
1764760997.712132,597,1,None,,
1764760997.732112,598,1,None,,
1764760997.752200,599,1,None,,
1764760997.772007,600,1,None,,
1764760997.846431,601,1,None,,
1764760997.852026,602,1,None,,
1764760997.872141,603,1,None,,
1764760997.892143,604,1,None,,
1764760997.912130,605,1,None,,
1764760997.931984,606,1,None,,
1764760997.952055,607,1,None,,
1764760997.972246,608,1,None,,
1764760997.992138,609,1,None,,
1764760998.012017,610,1,None,,
1764760998.057419,611,1,None,,
1764760998.071844,612,1,None,,
1764760998.091772,613,1,None,,
1764760998.111853,614,1,None,,
1764760998.131866,615,1,None,,
1764760998.151917,616,1,None,,
1764760998.171863,617,1,None,,
1764760998.191910,618,1,None,,
1764760998.211854,619,1,None,,
1764760998.231758,620,1,None,,
1764760998.275288,621,1,None,,
1764760998.291908,622,1,None,,
1764760998.311838,623,1,None,,
1764760998.331897,624,1,None,,
1764760998.351860,625,1,None,,
1764760998.371856,626,1,None,,
1764760998.391872,627,1,None,,
1764760998.411851,628,1,None,,
1764760998.431831,629,1,None,,
1764760998.451880,630,1,None,,
1764760998.496319,631,1,None,,
1764760998.511856,632,1,None,,
1764760998.531821,633,1,None,,
1764760998.551865,634,1,None,,
1764760998.571904,635,1,None,,
1764760998.591819,636,1,None,,
1764760998.611783,637,1,None,,
1764760998.631858,638,1,None,,
1764760998.651852,639,1,None,,
1764760998.671920,640,1,None,,
1764760998.745054,641,1,None,,
1764760998.751858,642,1,None,,
1764760998.771883,643,1,None,,
1764760998.791934,644,1,None,,
1764760998.812035,645,1,None,,
1764760998.832045,646,1,None,,
1764760998.852021,647,1,None,,
1764760998.871962,648,1,None,,
1764760998.892037,649,1,None,,
1764760998.912009,650,1,None,,
1764760998.985771,651,1,None,,
1764760998.992187,652,1,None,,
1764760999.012144,653,1,None,,
1764760999.032184,654,1,None,,
1764760999.052150,655,1,None,,
1764760999.072171,656,1,None,,
1764760999.092134,657,1,None,,
1764760999.112170,658,1,None,,
1764760999.132143,659,1,None,,
1764760999.152166,660,1,None,,
1764760999.196808,661,1,None,,
1764760999.211838,662,1,None,,
1764760999.231836,663,1,None,,
1764760999.251846,664,1,None,,
1764760999.271842,665,1,None,,
1764760999.291820,666,1,None,,
1764760999.311841,667,1,None,,
1764760999.331850,668,1,None,,
1764760999.351845,669,1,None,,
1764760999.371798,670,1,None,,
1764760999.439403,671,1,None,,
1764760999.452082,672,1,None,,
1764760999.472033,673,1,None,,
1764760999.492049,674,1,None,,
1764760999.512066,675,1,None,,
1764760999.532115,676,1,None,,
1764760999.552079,677,1,None,,
1764760999.572076,678,1,None,,
1764760999.592094,679,1,None,,
1764760999.612103,680,1,None,,
1764760999.660050,681,1,None,,
1764760999.671824,682,1,None,,
1764760999.691857,683,1,None,,
1764760999.711839,684,1,None,,
1764760999.731922,685,1,None,,
1764760999.751911,686,1,None,,
1764760999.771867,687,1,None,,
1764760999.791911,688,1,None,,
1764760999.811782,689,1,None,,
1764760999.831838,690,1,None,,
1764760999.874837,691,1,None,,
1764760999.891859,692,1,None,,
1764760999.911861,693,1,None,,
1764760999.931933,694,1,None,,
1764760999.951928,695,1,None,,
1764760999.971759,696,1,None,,
1764760999.991818,697,1,None,,
1764761000.011905,698,1,None,,
1764761000.031836,699,1,None,,
1764761000.051831,700,1,None,,
1764761000.125131,701,1,None,,
1764761000.132038,702,1,None,,
1764761000.152139,703,1,None,,
1764761000.171913,704,1,None,,
1764761000.191901,705,1,None,,
1764761000.211912,706,1,None,,
1764761000.231874,707,1,None,,
1764761000.251879,708,1,None,,
1764761000.271845,709,1,None,,
1764761000.291842,710,1,None,,
1764761000.361442,711,1,None,,
1764761000.372078,712,1,None,,
1764761000.391863,713,1,None,,
1764761000.411858,714,1,None,,
1764761000.431871,715,1,None,,
1764761000.451860,716,1,None,,
1764761000.471849,717,1,None,,
1764761000.491850,718,1,None,,
1764761000.511830,719,1,None,,
1764761000.531842,720,1,None,,
1764761000.602635,721,1,None,,
1764761000.611999,722,1,None,,
1764761000.632048,723,1,None,,
1764761000.652112,724,1,None,,
1764761000.672085,725,1,None,,
1764761000.692077,726,1,None,,
1764761000.712100,727,1,None,,
1764761000.732072,728,1,None,,
1764761000.752061,729,1,None,,
1764761000.772138,730,1,None,,
1764761000.845980,731,1,None,,
1764761000.851992,732,1,None,,
1764761000.872135,733,1,None,,
1764761000.892131,734,1,None,,
1764761000.912156,735,1,None,,
1764761000.932132,736,1,None,,
1764761000.952141,737,1,None,,
1764761000.972157,738,1,None,,
1764761000.991943,739,1,None,,
1764761001.012087,740,1,None,,
1764761001.056716,741,1,None,,
1764761001.071843,742,1,None,,
1764761001.091885,743,1,None,,
1764761001.111917,744,1,None,,
1764761001.131878,745,1,None,,
1764761001.151863,746,1,None,,
1764761001.171849,747,1,None,,
1764761001.191910,748,1,None,,
1764761001.211844,749,1,None,,
1764761001.231863,750,1,None,,
1764761001.276519,751,1,None,,
1764761001.291844,752,1,None,,
1764761001.311840,753,1,None,,
1764761001.331844,754,1,None,,
1764761001.351840,755,1,None,,
1764761001.371838,756,1,None,,
1764761001.391840,757,1,None,,
1764761001.411846,758,1,None,,
1764761001.431841,759,1,None,,
1764761001.451853,760,1,None,,
1764761001.496751,761,1,None,,
1764761001.511854,762,1,None,,
1764761001.531867,763,1,None,,
1764761001.551844,764,1,None,,
1764761001.571832,765,1,None,,
1764761001.591852,766,1,None,,
1764761001.611843,767,1,None,,
1764761001.631850,768,1,None,,
1764761001.651827,769,1,None,,
1764761001.671903,770,1,None,,
1764761001.748975,771,1,None,,
1764761001.752097,772,1,None,,
1764761001.772090,773,1,None,,
1764761001.792031,774,1,None,,
1764761001.812013,775,1,None,,
1764761001.831983,776,1,None,,
1764761001.852092,777,1,None,,
1764761001.872102,778,1,None,,
1764761001.892091,779,1,None,,
1764761001.912152,780,1,None,,
1764761001.990137,781,1,None,,
1764761001.992100,782,1,None,,
1764761002.012148,783,1,None,,
1764761002.032134,784,1,None,,
1764761002.052105,785,1,None,,
1764761002.072146,786,1,None,,
1764761002.092128,787,1,None,,
1764761002.111997,788,1,None,,
1764761002.132054,789,1,None,,
1764761002.152048,790,1,None,,
1764761002.228451,791,1,None,,
1764761002.232016,792,1,None,,
1764761002.251899,793,1,None,,
1764761002.272012,794,1,None,,
1764761002.292065,795,1,None,,
1764761002.312025,796,1,None,,
1764761002.331975,797,1,None,,
1764761002.352010,798,1,None,,
1764761002.372023,799,1,None,,
1764761002.393177,800,1,None,,
1764761002.473436,801,1,None,,
1764761002.492055,802,1,None,,
1764761002.512165,803,1,None,,
1764761002.532118,804,1,None,,
1764761002.552140,805,1,None,,
1764761002.572100,806,1,None,,
1764761002.592094,807,1,None,,
1764761002.612164,808,1,None,,
1764761002.632098,809,1,None,,
1764761002.651914,810,1,None,,
1764761002.757336,811,1,None,,
1764761002.771935,812,1,None,,
1764761002.791618,813,1,None,,
1764761002.811616,814,1,None,,
1764761002.831615,815,1,None,,
1764761002.851924,816,1,None,,
1764761002.872016,817,1,None,,
